date,lm_pct,sentiment_category,policy_rate_change
2021-03-17,3.5032,Dovish,
2021-04-28,3.5088,Dovish,
2021-06-16,3.5313,Dovish,
2021-07-28,3.5088,Dovish,
2021-09-22,3.4591,Neutral,
2021-11-03,3.3846,Neutral,
2021-12-15,3.4865,Neutral,
2022-01-26,3.5714,Dovish,
2022-02-18,3.4653,Neutral,
2022-03-16,3.7037,Dovish,
2022-05-04,3.8079,Dovish,
2022-06-15,3.6184,Dovish,
2022-07-27,3.5533,Dovish,
2022-09-21,3.5473,Dovish,
2022-11-02,3.7705,Dovish,
2022-12-14,3.7767,Dovish,
2023-02-01,3.8721,Dovish,
2023-03-22,3.8397,Dovish,
2023-05-03,3.7543,Dovish,
2023-06-14,3.7288,Dovish,
2023-07-26,3.7543,Dovish,
2023-09-20,3.8917,Dovish,
2023-11-01,3.7162,Dovish,
2023-12-13,3.8526,Dovish,
2024-01-31,3.7162,Dovish,
2024-03-20,3.7415,Dovish,
2024-05-01,3.9801,Dovish,
2024-06-12,3.7288,Dovish,
2024-07-31,3.6789,Dovish,
2024-09-18,3.7162,Dovish,
2024-11-07,3.6082,Dovish,
2024-12-18,3.5654,Dovish,
2025-01-29,3.6522,Dovish,
2025-03-19,3.7288,Dovish,
2025-05-07,3.5959,Dovish,
2025-06-18,3.6458,Dovish,
2025-07-30,3.7736,Dovish,
2025-09-17,3.9249,Dovish,
2025-10-29,4.0336,Dovish,
2025-12-10,3.8079,Dovish,
