fomc_date,avg_us_car,stmt_min_div,avg_jp_car,stmt_stance,min_stance
2006-01-31,0.0005564344056863453,0.0,-0.0042389933933359185,1.0,1.0
2006-03-28,-0.007860360646786491,0.0,0.013061309976044641,1.0,1.0
2006-05-10,-0.006793695510991163,1.0,0.007161448969279631,1.0,0.0
2006-08-08,-0.0064020220647802275,1.0,-0.0013109989812079901,1.0,0.0
2006-10-25,-0.0002157682104688798,1.0,0.014647090149158448,1.0,0.0
2006-12-12,0.00416576209337895,1.0,-0.005085818517257869,1.0,0.0
2007-05-09,0.0028322666147145323,2.0,0.0002583629524002103,1.0,-1.0
2007-09-18,0.011279183645362572,0.0,-0.022632974364469878,-1.0,-1.0
2007-12-11,-0.03070976031093112,0.0,-0.01142676746893809,-1.0,-1.0
2008-04-30,0.013552797453828704,0.0,-0.013972625170275439,-1.0,-1.0
2008-12-16,0.014236037039174115,0.0,0.07101142876633734,-1.0,-1.0
2009-01-28,0.05776191650378191,0.0,0.02187687156158226,-1.0,-1.0
2009-08-12,-0.0055739700601100265,0.0,-0.011827547222925748,-1.0,-1.0
2010-03-16,0.008602060395777199,1.0,0.0017332725681634,-1.0,0.0
2010-06-23,-0.0056230219056675815,1.0,0.006328812989784908,-1.0,0.0
2010-08-10,-0.0015170061285433767,0.0,-0.01064373876704856,-1.0,-1.0
2010-12-14,-0.01298570999384785,0.0,0.009924469772018833,-1.0,-1.0
2011-01-26,-0.002077164143459464,0.0,-0.012550218103206728,-1.0,-1.0
2011-03-15,0.016312915239547022,0.0,0.00921613880471707,-1.0,-1.0
2011-06-22,-0.008668395266304009,1.0,0.005388887349987654,-1.0,0.0
2011-08-09,-0.012354802119362483,0.0,-0.01011451363585813,-1.0,-1.0
2011-12-13,0.005943788130448668,0.0,0.004149951015080896,-1.0,-1.0
2012-01-25,-0.021395472422624864,1.0,-0.012823394172241851,-1.0,0.0
2012-03-13,0.021470704753991206,1.0,-0.0029361508028411605,-1.0,0.0
2012-04-25,-0.018594732861150952,1.0,0.0037631288729663105,-1.0,0.0
2012-06-20,0.014593708770385556,1.0,0.005387620166325361,-1.0,0.0
2012-08-01,-0.006419674371948205,0.0,0.00742013787350435,-1.0,-1.0
2012-10-24,0.005870848150608718,1.0,-0.00047189194687267017,-1.0,0.0
2012-12-12,0.00956356991701174,0.0,-0.008157908722529791,-1.0,-1.0
2013-01-30,0.006380202127803465,1.0,0.00811839526897018,-1.0,0.0
2013-06-19,0.021303426069348527,0.0,-0.0021280418960422003,-1.0,-1.0
2013-07-31,0.0013233892749047727,1.0,0.0184230784945547,-1.0,0.0
2013-09-18,-0.01991185398654591,1.0,0.01367239503238575,-1.0,0.0
2013-10-30,-0.0014759038490966866,1.0,0.0017750501094776698,-1.0,0.0
2013-12-18,0.003821697535518111,1.0,-0.00595943740521606,-1.0,0.0
2014-01-29,-0.0018490757814009458,1.0,-0.0029307188306275903,-1.0,0.0
2014-04-30,0.00021021340032634952,1.0,0.0073602446374202105,-1.0,0.0
2014-06-18,-0.007249955201553178,1.0,0.0038945390791938804,-1.0,0.0
2014-07-30,0.01386256242585845,1.0,0.00774357196625629,-1.0,0.0
2014-09-17,0.0115091376252934,1.0,0.004279875139356949,-1.0,0.0
2014-10-29,0.00450317524414299,1.0,0.01672977099402209,-1.0,0.0
2014-12-17,0.0001846928656933209,1.0,0.0052829187137967,-1.0,0.0
2015-01-28,-0.00854784330427022,1.0,-0.0004745302877027204,-1.0,0.0
2015-03-18,-0.0203752105547504,1.0,-0.016532666950024,-1.0,0.0
2015-06-17,-0.012987788210269203,1.0,0.005915902986581281,-1.0,0.0
2015-07-29,0.005604803583434549,1.0,0.0032663186082857996,-1.0,0.0
2015-10-28,0.008271483182941996,1.0,-3.084033867721014e-05,-1.0,0.0
2015-12-16,-0.001995469756537967,1.0,-0.00381162993353316,1.0,0.0
2016-01-27,0.017463954938516855,1.0,-0.0420908104067011,-1.0,0.0
