date,cb_score,hawkish_count,dovish_count,total_words,fomc,target,path,lm_pct,lm_std,cb_std,combined
2006-01-31,0.037209302325581395,16,8,215,2006-01-31,0.3987485911527393,0.7046261016213693,3.0195,-0.3644024080070752,2.4246257812816214,1.030111686637273
2006-03-28,0.043478260869565216,22,10,276,2006-03-28,0.26005393419158845,1.2408831138111704,2.7397,-1.1861560679067467,2.6999960479348175,0.7569199900140354
2006-05-10,0.04054054054054054,23,11,296,2006-05-10,0.22892216759513706,1.351522891856268,2.7119,-1.267802786081196,2.570953747737701,0.6515754808282525
2006-08-08,0.06074766355140187,23,10,214,2006-08-08,-0.7847773713587116,-0.015180901610976903,2.8881,-0.7503153133352263,3.4585718126449723,1.354128249654873
2006-10-25,0.05314009661835749,20,9,207,2006-10-25,0.09738052070768824,-0.14918266409085695,3.0576,-0.25250528705576164,3.1244018352497798,1.435948274097009
2006-12-12,0.04608294930875576,20,10,217,2006-12-12,0.24998005526174252,-0.9153911285242337,3.0357,-0.31682410461045374,2.814409589676409,1.2487927425329777
2007-05-09,0.024844720496894408,13,9,161,2007-05-09,-0.030656056533890835,1.1397281470759197,3.5647,1.2368130865508284,1.881499172398819,1.5591561294748237
2007-08-07,0.03431372549019608,21,14,204,2007-08-07,0.38503562621644755,-0.7748526217188832,3.6101,1.3701498133537056,2.29743467614342,1.8337922447485626
2007-09-18,0.0,14,14,254,2007-09-18,-4.95513748952875,-0.6235470806387485,3.5461,1.1821861456139662,0.7901700050174876,0.9861780753157269
2007-12-11,0.021739130434782608,21,15,276,2007-12-11,1.9429229430737607,-0.28587829977069856,2.9982,-0.4269590661767061,1.7450830264761528,0.6590619801497233
2008-03-18,0.034722222222222224,26,16,288,2008-03-18,2.6906581181984515,-1.1524781855046666,3.6332,1.4379929496785173,2.3153783031806334,1.8766856264295755
2008-04-30,0.006600660066006601,21,19,303,2008-04-30,-1.6325649621663696,-0.5442929338381952,3.1142,-0.08627491839842992,1.0801105923910757,0.49691783699632286
2008-06-25,0.04048582995951417,27,17,247,2008-06-25,-0.39527632340447766,-0.6106012814813195,3.3868,0.7143328288805219,2.568550530810953,1.6414416798457374
2008-12-16,-0.022589052997393572,12,38,1151,2008-12-16,-4.210779153715667,-2.4914522410752173,3.6437,1.468830738917068,-0.2020767140655389,0.6333770124257646
2009-01-28,-0.04801670146137787,23,46,479,2009-01-28,0.2855636066856883,-0.23399271906865857,3.04,-0.30419529568418946,-1.3190115747388123,-0.8116034352115009
2009-04-29,-0.051643192488262914,16,38,426,2009-04-29,-0.017890877096900553,0.5435859450955158,3.0894,-0.15911083964757863,-1.4783088159124869,-0.8187098277800328
2009-08-12,-0.047619047619047616,15,35,420,2009-08-12,0.09000520378568985,-0.34587634031471837,3.231,0.256758775226594,-1.3015442324633977,-0.5223927286184018
2009-09-23,-0.042352941176470586,19,37,425,2009-09-23,0.08627089016588217,-2.3158299756943665,3.3981,0.7475201639658192,-1.0702252462008057,-0.16135254111749325
2010-03-16,-0.03139013452914798,25,39,446,2010-03-16,-0.05057091224716089,-0.8020957610047237,3.3708,0.667341911945587,-0.5886730125147552,0.03933444971541589
2010-06-23,-0.016574585635359115,30,36,362,2010-06-23,0.0840857186757961,0.21193561488637175,3.6244,1.4121479453643033,0.0621147731871242,0.7371313592757137
2010-08-10,-0.03870967741935484,28,46,465,2010-08-10,0.16331685264550053,-0.6416790204487024,3.47,0.9586855969421832,-0.9101912460960064,0.024247175423088407
2010-09-21,-0.03263403263403263,31,45,429,2010-09-21,0.2075748702111649,-0.2464553577909618,3.7217,1.6979114589748747,-0.6433124794099723,0.5272994897824512
2010-11-03,-0.012170385395537525,38,44,493,2010-11-03,0.3871016632344076,-0.20967743721458215,3.4215,0.8162443799831616,0.2555736684605068,0.5359090242218342
2010-12-14,-0.02032520325203252,37,47,492,2010-12-14,0.18770919038310824,-0.05719193127784772,3.5994,1.338724637653468,-0.1026348524438659,0.6180448926048011
2011-01-26,-0.020594965675057208,31,40,437,2011-01-26,0.12942518378480827,-0.1295745838067981,3.68,1.575441381713202,-0.11448443636440561,0.7304784726743982
2011-03-15,-0.004310344827586207,37,39,464,2011-03-15,0.05889285338756454,0.12729973763476893,3.0645,-0.2322404541275713,0.6008338024868902,0.18429667417965945
2011-04-27,-0.00646551724137931,36,39,464,2011-04-27,-0.09593038048528345,-0.17853272531454606,3.0744,-0.20316482427408036,0.5061657012215915,0.1515004384737556
2011-06-22,-0.006535947712418301,31,34,459,2011-06-22,0.0460772688334768,0.23567573575479134,3.47,0.9586855969421832,0.5030719724220719,0.7308787846821276
2011-08-09,-0.011385199240986717,35,41,527,2011-08-09,0.22112579286954237,-0.7381164694509629,3.681,1.5783783140216352,0.2900637546899894,0.9342210343558123
2011-09-21,-0.031879194630872486,35,54,596,2011-09-21,0.3310100209033926,1.1977873808962813,3.4277,0.8344533602954494,-0.6101554660477362,0.11214894712385659
