fomc_date,d0,d1,lm_pct,sentiment,JPM_ar0,JPM_ar1,JPM_car01,JPM_alpha,JPM_beta,BAC_ar0,BAC_ar1,BAC_car01,BAC_alpha,BAC_beta,C_ar0,C_ar1,C_car01,C_alpha,C_beta,WFC_ar0,WFC_ar1,WFC_car01,WFC_alpha,WFC_beta,MS_ar0,MS_ar1,MS_car01,MS_alpha,MS_beta,USB_ar0,USB_ar1,USB_car01,USB_alpha,USB_beta,PNC_ar0,PNC_ar1,PNC_car01,PNC_alpha,PNC_beta,TFC_ar0,TFC_ar1,TFC_car01,TFC_alpha,TFC_beta,BK_ar0,BK_ar1,BK_car01,BK_alpha,BK_beta,STT_ar0,STT_ar1,STT_car01,STT_alpha,STT_beta,SCHW_ar0,SCHW_ar1,SCHW_car01,SCHW_alpha,SCHW_beta,MTB_ar0,MTB_ar1,MTB_car01,MTB_alpha,MTB_beta,KEY_ar0,KEY_ar1,KEY_car01,KEY_alpha,KEY_beta,FITB_ar0,FITB_ar1,FITB_car01,FITB_alpha,FITB_beta,RF_ar0,RF_ar1,RF_car01,RF_alpha,RF_beta,BCS_ar0,BCS_ar1,BCS_car01,BCS_alpha,BCS_beta,NTRS_ar0,NTRS_ar1,NTRS_car01,NTRS_alpha,NTRS_beta,COF_ar0,COF_ar1,COF_car01,COF_alpha,COF_beta,BMO_ar0,BMO_ar1,BMO_car01,BMO_alpha,BMO_beta,RY_ar0,RY_ar1,RY_car01,RY_alpha,RY_beta,TD_ar0,TD_ar1,TD_car01,TD_alpha,TD_beta,GS_ar0,GS_ar1,GS_car01,GS_alpha,GS_beta,ALLY_ar0,ALLY_ar1,ALLY_car01,ALLY_alpha,ALLY_beta,CFG_ar0,CFG_ar1,CFG_car01,CFG_alpha,CFG_beta
1994-05-17,1994-05-17,1994-05-18,0.0,Neutral,0.015091682153019361,0.03359623932045819,0.04868792147347755,-0.0010081481435559412,1.3383623403676819,0.007830295245849765,0.006622599841923144,0.014452895087772909,0.0010171850494876363,1.1139430976188531,0.028137469077490852,0.009998145684057382,0.03813561476154823,-0.00164419826063911,1.425624092092014,-0.018869178086783046,-0.007387446358422761,-0.02625662444520581,0.0003116093486278552,1.2459629997658757,-0.015696991579390092,0.008432546680227887,-0.007264444899162205,-5.315437386745809e-05,1.1416972765647306,-0.00540655228272013,0.001762518265494656,-0.0036440340172254736,0.0011883874096594515,0.3842070055784768,0.007004375099231351,0.004039192111090308,0.011043567210321658,0.0002967155656646493,1.3501285948156798,9.259687376157733e-05,0.0008536610872478005,0.0009462579610093778,-0.00021035174859539477,0.5872649998080278,0.010818641022122034,0.029292198549415345,0.04011083957153738,0.0007488205796003907,0.9984986700929224,-0.004047650721399074,0.015736962059310532,0.011689311337911458,0.000728603798258753,0.8716057002925484,0.009643362314779837,-0.012998649309236839,-0.003355286994457002,-0.0003453069244588758,2.240695214344066,0.023446346105367947,-0.001013870293636144,0.022432475811731804,-0.0003078469780847277,0.1374858974450727,0.00031625464633125953,0.013560622122662446,0.013876876768993705,0.0010776273465058158,0.9838176744500103,0.011460593707037395,0.00041714199251958843,0.011877735699556984,0.00034076828451192284,0.6435553643451349,-0.0067610358612287015,-0.016655921594337153,-0.023416957455565855,0.0009046171734212687,0.8707789322096816,-0.016602608628633712,0.02353268204999959,0.006930073421365878,-0.00026184083826351915,0.8299687598315137,-0.018370223303923086,0.000643837537105567,-0.01772638576681752,0.00016735592351386648,0.553838097569915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-08-16,1994-08-16,1994-08-17,0.7937,Neutral,0.008585225517797924,-0.00679085220283189,0.0017943733149660343,-6.255550849437802e-05,1.3448533758639456,-0.009953313647430717,-0.008735804885500888,-0.018689118532931606,0.0015623892358867834,1.2981176568259667,-0.004687574576698234,0.0035059942590940515,-0.0011815803176041828,-0.00041618691573107775,1.510210961219868,0.012924141211089177,-0.006236648787924623,0.006687492423164554,0.0011783468412698232,1.1844146297163447,-0.022333013912708227,0.0015549456571714846,-0.02077806825553674,0.0011017305195821273,1.446654062510534,-0.0026608437566326246,0.005038786024259862,0.0023779422676272377,0.000874956223388404,0.21791142660945187,0.0016570673150351212,-0.018757808777366228,-0.017100741462331107,0.0005038074323773569,1.385272064577787,-3.314312963679459e-05,-0.0008598562306997694,-0.000892999360336564,0.0006351985300133327,0.6529105535016415,0.000833981686338409,0.010148522177705274,0.010982503864043683,0.001194700568470979,1.2058363894481838,-0.012382114519354783,0.0018663034291017148,-0.010515811090253069,0.0009969380867925403,0.8163097927699823,0.02387818847445001,-0.0007931395098090279,0.023085048964640982,6.505216235525249e-05,2.116000972016921,-0.006041158556191089,-0.001463034810606764,-0.0075041933667978535,0.0014010716797071647,0.18008010394808857,0.006870120482483869,-0.016061274470794203,-0.009191153988310333,0.0007005200673232025,0.9391227634295972,-0.006118334788231373,0.004026569548999408,-0.0020917652392319647,0.0006962762692849691,0.6615917772140965,-0.002901148197022943,-0.014792939855753091,-0.017694088052776034,0.0008643806931047991,0.6678438132850257,0.013332643230190426,0.010299504518358116,0.023632147748548542,5.8188232820594705e-05,1.0380104972719175,0.004472526829706653,0.00013517872830744388,0.004607705558014097,-0.00023153305664538583,0.28002938539467886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-11-15,1994-11-15,1994-11-16,0.0,Neutral,0.006298456855110386,-0.0046243834099735,0.0016740734451368864,-0.00030013820646579035,1.1820139651822767,-0.0018875632669482357,-0.0061761344576836755,-0.008063697724631912,-0.0006326963131638622,1.240213680205544,0.01835815768050789,-0.012762909764698351,0.005595247915809539,-0.00018438139195445027,1.447239084149827,-0.008214465604329646,-0.011605823571178524,-0.01982028917550817,-0.0004724935863558213,0.9533956018534203,0.002497795380063457,-0.029307121099617677,-0.02680932571955422,0.0007988474471302752,1.5211411846144056,0.006493380095285609,-0.006984349930282121,-0.000490969834996512,0.0003033808292870171,0.0803817110982934,-0.013056796956064834,-0.02224610698905298,-0.035302903945117814,-0.0016710871549403107,0.937902795188469,0.007451204294780355,-0.013054408314687703,-0.005603204019907348,0.00012103855253123305,0.6973285329879771,-0.00639365395818072,-0.010388243943639405,-0.016781897901820123,0.000757529272315563,1.1053051222894257,0.006065935188803242,-0.019351181807928577,-0.013285246619125335,-0.0007382246727783485,0.6771264112583235,0.03428267366529303,-0.007996275156893187,0.026286398508399842,0.001289369515936734,2.37760661007036,0.007993896115508685,0.01086137061767529,0.018855266733183974,0.0008008580259104887,0.12780660857060666,-0.001167136382681195,0.004624960303708058,0.003457823921026863,-0.001232493320721279,1.0798825068048508,0.000915875984989266,0.0014805664986844499,0.002396442483673716,0.00025118257221376587,0.5385056644821271,0.0036369725838827035,0.001894847859363634,0.005531820443246337,-0.000512627073172495,0.5057714637078716,0.019746594314090767,0.010622981185039768,0.030369575499130535,0.0012362568820263073,0.6930911003036649,0.013017904950503716,-0.003191893725941952,0.009826011224561764,-0.0010146687587745883,0.44920985655433954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-02-01,1995-02-01,1995-02-02,0.0,Neutral,-0.009628544201275478,0.0004279520067031282,-0.00920059219457235,6.445891500255559e-05,1.1768299686336257,-0.01005788595288559,0.0026175141929986757,-0.007440371759886915,-0.000615106740257765,1.2061066501232884,0.0031775969958824056,-0.0018264682196302735,0.001351128776252132,0.00028230282014779203,1.6337399177919427,-0.019887952164076565,0.011176461825333574,-0.00871149033874299,-0.0008977564114246961,1.1176603812826391,0.023955664492257913,0.0057002886139943315,0.029655953106252245,-0.00047856036314596013,1.5449323010831506,0.019596335303366734,0.0018455182265868135,0.021441853529953547,8.676683948359896e-05,0.2524336971021508,0.0023491130208807033,0.018406130466396158,0.02075524348727686,-0.0023057683213393875,1.0185160624203775,0.006887772700428911,0.008273270202962653,0.015161042903391564,-0.0006759403544466145,0.9196298640352064,0.0035147629417486585,0.01372659464344797,0.01724135758519663,0.0008029939382773797,1.2168041604286428,0.005927617170701059,-0.0016555008699210808,0.0042721163007799785,-0.0020947078227545953,0.7381118552133208,0.015576555101273232,-0.010966617206340533,0.004609937894932699,0.0032632027502823607,2.1198465772318964,0.019415966299791997,-0.00678480469008935,0.012631161609702646,-0.0007330677411730317,0.16751081713460175,0.006319624015521492,0.0008350988096064568,0.007154722825127949,-0.0017907385913648,1.0668098874571077,0.0007215976294274983,0.006224519022428892,0.00694611665185639,-0.0007053189017978065,0.3825184103722641,0.008687364990963788,-0.00941669749751162,-0.0007293325065478324,-0.0007630486524111583,0.4599655774189147,-0.00084798407173892,0.024035850046343708,0.023187865974604788,0.000862788865590519,0.34788383581487137,-0.0023979290982704777,0.004209165114621996,0.0018112360163515182,-0.001349615178144278,0.9337818002920429,0.01204556377371444,0.014128853160060588,0.02617441693377503,-0.00038650649959920814,1.8026027760961627,0.014607322798367716,0.016350233802335346,0.03095755660070306,-0.000790528831882049,0.536904967507587,,,,,,,,,,,,,,,,,,,,,,,,,
1995-07-06,1995-07-06,1995-07-07,2.8571,Neutral,0.0095786804567024,0.014745201349370953,0.024323881806073352,1.0364233089080644e-05,1.3772125083614744,-0.001552541694467998,0.0007902828569791732,-0.0007622588374888249,-0.00026047538913173733,1.4530147207441841,-0.015091781170440806,0.02119891085056751,0.006107129680126704,-0.0008801204659631517,1.7543453635973378,-0.0062403509081586355,0.011671936731821264,0.005431585823662629,0.0006362569587887095,1.1658332719793107,-0.013219877257489344,0.027589965787661163,0.01437008853017182,0.0007498477684380046,1.8677637316823004,0.009860632734610818,-0.008301640443645166,0.0015589922909656512,0.0011711433122014961,0.4215361434797739,-0.003269463217917809,-0.005986411494904451,-0.00925587471282226,-0.00015256142440524766,1.428959063142165,-0.017297705637269276,0.010952592882419496,-0.00634511275484978,0.0008149164991666905,0.9168209167027228,-0.009937462705050394,-0.008738449824949826,-0.01867591253000022,0.001425342937666049,1.7022603786769288,-0.014407140263770166,-0.018699786268600135,-0.0331069265323703,0.0001650757316224131,1.1581181269599545,0.013139797197259485,0.04742369723919378,0.06056349443645326,0.0028660116635104834,2.134414111575177,0.005964901362227151,-0.0003615173973965345,0.005603383964830616,0.0008953922032056361,0.21098617630791713,0.0031732119028465254,-0.00894128815840343,-0.005768076255556904,0.0007451666201823358,0.9876613375246343,-0.00031547508514885624,0.002444682717581712,0.002129207632432856,0.0010421494839647715,0.20930245668918937,0.004344963637493541,-0.00954466467889982,-0.005199701041406279,0.001437521998555166,0.34568349642113105,-0.0011905837811311956,0.01929621537116935,0.018105631590038154,0.0008590949626974012,0.48122051469767063,-0.014277418710838381,0.01137159657800791,-0.002905822132830471,-0.0003672907328612227,1.064351950620667,0.022726093778249908,0.011539336220446738,0.034265429998696646,0.0020666056764083235,1.014370382868462,-0.02062833604275431,0.014837201629422668,-0.005791134413331643,0.00028880187564405373,0.6858683480916324,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-19,1995-12-19,1995-12-20,0.0,Neutral,0.01915019178364559,-0.0020411285425351554,0.017109063241110434,0.0011923033997633644,1.2119412744755946,-0.002272401214914732,0.0198160243903538,0.017543623175439067,0.0010996893429024625,1.216412151802337,-0.007052441365405556,-0.0024750266001716432,-0.0095274679655772,0.000687561211555726,1.7695610609231127,0.023687972613294493,-0.019617743091005575,0.004070229522288919,0.0007028441925809183,0.6871116429231642,-0.01857297071760213,-0.01145513203545237,-0.0300281027530545,-0.001025730149666538,1.3992880167307602,0.0010373034202112458,0.004397348922642855,0.005434652342854101,0.0018366003799668994,0.6368525493072367,0.012365661718382418,0.02457813149413113,0.03694379321251355,-0.00012486830808880939,1.171364177894482,0.013169488005788878,-0.014139482819351592,-0.0009699948135627138,0.001074844621916484,0.601992826741743,-0.0002988347079244478,0.0052466846243518165,0.004947849916427369,0.0009713479047826211,1.1743580356704635,-0.005898654261918857,0.005882940801747708,-1.5713460171149114e-05,0.0017750763599326082,0.48871693026368346,0.08450238437462736,0.12106814073471556,0.20557052510934293,0.0001498226967258058,2.1676275624181134,-0.029296211964151483,0.01724157053170211,-0.012054641432449373,0.0016516492942340692,0.194358869629481,0.01858876486389798,-0.0007575568930713577,0.017831207970826622,0.0007764819512472903,1.055084346179243,0.028998969613675363,-0.01364174018504599,0.015357229428629373,0.0023764205233494724,0.23906666647786262,-0.003995488572593101,0.0010045758727962846,-0.002990912699796816,0.0010098416542414816,0.35385197793527595,-0.007134640976695917,-0.019778946227274528,-0.026913587203970444,0.0006100108928636738,0.7732840900472958,-0.022327743897793025,0.011577161328071572,-0.010750582569721452,0.002216334318716894,0.4315891608281281,0.022148606164119157,-0.009505572825336617,0.01264303333878254,0.0002286271057050397,1.1916969667192037,0.013506900984567683,0.0208425660219245,0.03434946700649218,0.0004005227046231532,0.41882804335788393,-0.00039835215735876863,0.026102278053438017,0.025703925896079248,-0.0009719061423413394,0.8358275884593231,,,,,,,,,,,,,,,,,,,,
1996-01-31,1996-01-31,1996-02-01,5.2632,Dovish,-0.008657188867200573,-0.02236247414683219,-0.031019663014032764,0.0007879733624507875,1.246870598671909,0.0019220727327110589,-0.021246566125394703,-0.019324493392683644,0.0012169159084741542,1.024318366533892,0.00421012821478408,-0.017532254698822823,-0.013322126484038743,0.0009340375289572407,1.7407397073072242,0.0069887418846636545,-0.019238235682076995,-0.01224949379741334,0.00011782917222529113,1.1926437363901388,0.031974616782846785,-0.010744293773447544,0.02123032300939924,-0.0014922366570474296,1.3837730631359597,-0.017837438214727844,-0.003975001520326341,-0.021812439735054184,0.0012012474956548912,0.7230169359706304,0.0021334858175916047,-0.004661269730377645,-0.00252778391278604,0.0005553533146089276,1.0702632893456536,-0.0033569407656386316,-0.0034589451264105805,-0.006815885892049212,0.0005119809775709803,0.7681665246296258,-0.00394070021340122,-0.017193333889828414,-0.021134034103229636,0.0005985164545371388,1.1521282619638733,-0.005022582038003609,0.004695979706376897,-0.0003266023316267118,0.0006174251315689743,0.7694403227166057,0.03851146021393237,-0.03136401081382929,0.007147449400103076,-0.002540911200332391,2.3535812893739068,-0.002307531312715607,0.009199408005158874,0.0068918766924432676,0.001633685266084251,0.07233806745303054,-0.0026221811309443017,-0.0005451214831431522,-0.003167302614087454,8.021851655938619e-05,1.010733406677508,0.006245221391882156,-0.00807704687795959,-0.001831825486077434,0.0010423066715446797,0.8006304352760778,0.013330382182017396,0.006716081790966713,0.02004646397298411,0.00035713413748824925,0.47658301828817234,0.013256668268696604,-0.00722251925596171,0.006034149012734894,-0.00018052435704947806,0.5790516350647618,-0.002418308722693746,0.0021244324276633543,-0.0002938762950303918,0.0013998793448675576,0.6181667251370648,0.016874240585480673,-0.011483359630540438,0.005390880954940235,-0.00013330693723348125,1.8156772694395968,-0.010224269954257993,0.002688358973343369,-0.007535910980914624,0.0006269877619825389,0.47966640892586493,-0.00630458672047798,-0.0024060520672364396,-0.00871063878771442,-0.00032374034658499187,0.7115577406366541,,,,,,,,,,,,,,,,,,,,
1996-12-17,1996-12-17,1996-12-18,8.2949,Dovish,0.01877077807469933,-0.014200948972134649,0.00456982910256468,0.0011409013172561217,1.3474538333937953,0.023913213549014344,-0.02100285678877875,0.0029103567602355926,0.0012386477891026479,1.0498720366467038,-0.007917830006860443,0.005800502684749005,-0.0021173273221114387,0.0013154013371168072,1.786403287910328,0.015207198825426899,-0.003376458749987106,0.011830740075439793,0.0012088118940680563,1.0535670262236654,0.012854925365514615,0.002028334121696146,0.01488325948721076,-3.0440163626257885e-05,1.4863478949894635,-0.005483644475466457,-0.010083746371600678,-0.015567390847067136,0.0015700471057992,0.7562250986057174,0.02460044527977573,-0.02306129621827206,0.0015391490615036703,0.0011086339543863542,1.1667300133074225,0.0005874442708869885,-0.010761667108187392,-0.010174222837300403,0.0013232757343869387,0.7677555388949477,0.021256737183413824,-0.021191043512126438,6.56936712873854e-05,0.001646727014744803,1.1038574718458942,-0.0018647932261861878,-0.012294334916436715,-0.014159128142622903,0.0013742178877875944,0.9197041318050856,-0.028608212935433495,0.017197637694682598,-0.011410575240750898,0.00026714461590535843,2.2269560681771106,-0.0022997976419197566,0.005737775157412965,0.0034379775154932085,0.0010786371484544047,0.04644346313414668,0.02930266313933272,-0.03313877155770069,-0.00383610841836797,0.0015741713975093987,0.9705432566350142,0.0036782403371019186,-0.02465697334028496,-0.02097873300318304,0.001710039459524324,0.9421001497839568,-0.0015568222838534288,0.0006143921116381519,-0.0009424301722152769,0.0005470408214335395,0.4939009219649023,-0.00437815682462127,0.012140656361092138,0.0077624995364708686,0.0025136026177555388,0.265673301238225,-0.007921417243486618,0.02991077021206507,0.02198935296857845,0.001922073941162875,0.3151936400257971,-0.028222319554219846,-0.011270925108506013,-0.03949324466272586,0.0006785038396728945,1.398276600959999,0.005762896878817675,0.000952220705801839,0.006715117584619514,0.001975298434065777,0.7321354725421684,-0.011192153564583541,-0.007833198709200065,-0.019025352273783606,0.002959538153226053,0.6433586187222029,0.00786859357960664,-0.020133175457920777,-0.012264581878314137,0.0024214889014413108,1.6680040022483535,,,,,,,,,,,,,,,
1997-01-09,1997-01-09,1997-01-10,0.9709,Neutral,-0.003570987610987522,-0.01598451786558154,-0.019555505476569063,0.0008033384349225592,1.3163392925039272,-0.0044988922736519475,0.00569203025040924,0.0011931379767572926,0.000579649945408024,1.1728467238183646,0.005446443194167504,-0.026009834921919356,-0.020563391727751852,0.0011703870677238985,1.8207193224716154,-0.011827000054933179,-0.020009046446183468,-0.03183604650111665,0.0009666753740362069,1.2621074878033858,0.001954438377033123,-0.013420022011732079,-0.011465583634698956,1.7854813770704725e-06,1.2846984527146519,-0.007597670408402086,-0.008586933468903022,-0.01618460387730511,0.001492529721690973,0.7094947896304334,-0.011476447064323431,-0.018235038979430237,-0.02971148604375367,0.0008526862847509451,1.203731450725955,-0.004894272819873324,-0.013330139869379478,-0.018224412689252803,0.0008996898931591544,0.8748137792779462,-0.011399485294607443,-0.02336903316104972,-0.03476851845565716,0.0011917313431402152,1.186270491384364,-0.0016749263896023714,-0.013661381029823763,-0.015336307419426135,0.0006764066706219034,0.950530651169478,-0.0069034973226682755,-0.02174938133732847,-0.028652878659996744,0.0006284229241776116,2.1350684531755766,0.00850761408134294,0.015640725990164046,0.024148340071506985,0.001452382340305612,0.08321319976232372,-0.0033393888064071585,-0.012972554760646033,-0.01631194356705319,0.0015028963801104966,1.0700303748896047,-0.011408314548950794,-0.009358524429447587,-0.02076683897839838,0.0007449352427848397,1.239219937068049,-0.009495753388602032,-0.0010092679334310975,-0.01050502132203313,4.3646081483074616e-05,0.5450993171310938,0.03253634944930268,-0.002363158091868635,0.030173191357434043,0.0021852279619108106,0.30736844174286615,-0.019647388114382457,-0.0018870384349569504,-0.021534426549339406,0.0012943163621757603,0.6284560589679027,-0.014305011394120905,0.006632843527573743,-0.007672167866547163,0.000938710469861908,1.132245695533342,-0.01404104192446771,-0.019343192270888307,-0.033384234195356015,0.0016245699493974335,0.9960076314176933,-0.006325626956777337,-0.014495884056996934,-0.02082151101377427,0.002315915031926819,0.8653259462983742,-0.006904478284974001,-0.026739072351526092,-0.0336435506365001,0.0014880108209033062,1.7576932806873478,,,,,,,,,,,,,,,
1997-03-25,1997-03-25,1997-03-26,10.828,Dovish,-0.01357291894132333,-0.021501899252166848,-0.035074818193490176,0.0007741854415763966,1.2689861936206364,-0.007878478276574476,-0.023549492656143964,-0.031427970932718444,0.0007137057798568168,1.2935903690317696,0.013460619314050007,-0.03244242744084172,-0.018981808126791712,0.0007437333621176041,2.092188439898683,-0.009417141901068288,-0.01773257226829308,-0.02714971416936137,0.00037508945202262734,1.3828522186498797,-0.002703878771436537,-0.02360632933079753,-0.026310208102234067,0.0019113239199146273,1.0803275735353959,-0.0017594454511480472,-0.028469330627794675,-0.030228776078942723,0.0032905286314034964,0.6653371020800748,0.0020066011295728644,-0.02038977867912512,-0.01838317754955226,0.0009597418802955153,1.2890338600885367,-0.012078103429378215,-0.012107109905408336,-0.02418521333478655,0.0013436613072904263,0.7332655688805189,-0.010056291082569033,-0.025674812980925693,-0.03573110406349472,0.0010208630431787513,1.4717273970374531,-0.008145896195033663,-0.02683776253953746,-0.03498365873457113,0.001963471671212856,0.8928828103010076,0.0024341815814048007,-0.018803634544346713,-0.016369452962941913,0.0014264783365265821,1.6776621381763257,0.0008428921804400332,0.0008331202435917597,0.001676012424031793,0.0022820810001697666,0.0002620093949459128,-0.005658516515596737,-0.01967866236267393,-0.025337178878270666,0.0012283266339617987,1.1135652021471143,-0.02271872017731887,-0.018766649102440466,-0.041485369279759335,0.0025939090108066222,0.9952008205821448,0.0032518513698938283,-0.0062649956687849525,-0.0030131442988911242,0.001586577959356707,0.2918867806605465,0.025654648491468337,0.02006094856208271,0.04571559705355105,0.002284132181266475,0.2585814408563703,0.014608421587392855,-0.03584612125529092,-0.02123769966789807,0.0012101245243223196,0.93946179674163,0.005557194058924421,3.060003033217946e-05,0.0055877940892566005,0.0021109348043918366,0.5645849362385131,0.00948022748364848,-0.011220231258333721,-0.0017400037746852417,0.002798887174588828,1.075589609922747,0.007869733208397501,-0.02239976759809123,-0.01453003438969373,0.0031820976797746563,0.9797137216517536,-0.00834908276578581,-0.013251511482678535,-0.021600594248464347,0.002077827680743112,1.1722473815623962,,,,,,,,,,,,,,,
