fomc_date,minutes_release,PNC_min_car01,NTRS_min_car01,RF_min_car01,TD_min_car01,SCHW_min_car01,BCS_min_car01,BMO_min_car01,MS_min_car01,JPM_min_car01,ALLY_min_car01,BK_min_car01,C_min_car01,USB_min_car01,GS_min_car01,FITB_min_car01,BAC_min_car01,COF_min_car01,KEY_min_car01,RY_min_car01,WFC_min_car01,TFC_min_car01,STT_min_car01,MTB_min_car01,CFG_min_car01,avg_min_car01
1994-05-17,1994-06-07,-0.02065126672406669,0.0194765710325654,0.020933519794634654,0.0,-0.050033491428923875,0.03863714464387647,0.0,0.009215738665162353,-0.006882712516803717,0.0,0.00733302677301962,0.006772982634628118,0.005765687161938267,0.0,-0.005370174681136646,-0.020699815732696518,0.0,0.006730050022072061,0.0,0.012873827259980325,0.016941097953637636,-0.030199329729831408,-0.010842855128056043,0.0,5.782411586589357e-19
1994-08-16,1994-09-06,-0.003173498991803975,-0.007985069194448198,-0.014930253383782961,0.0,-0.01885690373998839,0.046778598477339894,0.0,-0.017779183609890396,-0.00393799911363813,0.0,-0.00948388740604212,0.0024768615957748647,0.008753678321808726,0.0,0.010709131657469223,-0.014563017174008548,0.0,0.009836073742388811,0.0,0.0012291900093547234,-0.006303207088995239,0.008990960587795686,0.00823852531066604,0.0,1.4456028966473392e-19
1994-11-15,1994-12-06,0.007924950405361609,0.026748693692577197,-0.01686253213806006,0.0,-0.008243680789969354,-0.01185329141520559,0.008080287719182167,-0.0573755159745339,0.01807730684980395,0.0,0.030594407845029137,-0.011063204509138069,0.004464743555498685,0.0,-0.028543785234363475,0.01049228414624941,-0.00934385517995757,0.0234097251720246,0.0,0.03027717432262005,-0.019768718027114173,-0.004718980307446617,0.007703989867441964,0.0,-1.734723475976807e-18
1995-02-01,1995-02-22,0.011616379202031502,-0.010969733662250746,0.0006177915419286351,0.0,0.013035699732024663,0.00483568560916935,0.020670310924098535,-0.023594837103559266,-0.015191173770915844,0.0,0.0012255265189509024,-0.0054014118255487735,-0.01827502873181287,0.0,0.016198334922270397,0.009130370245812636,0.0036157911794448723,-0.0005841814778923104,0.0,-0.01803097482321715,-0.006841744662566052,0.001704695993333661,0.016238500188697866,0.0,5.782411586589357e-19
1995-07-06,1995-07-27,-0.01124701641378927,-0.008067489638564676,0.015217972799797927,0.0,0.012994858752395986,0.022057477069671268,-0.034699948544384566,0.011592679685920215,-0.013664673566924959,0.0,0.01089313557492628,0.02140574512982913,0.014325125159933293,0.0,-0.006862355606966288,-0.011140221989446353,0.020845493841428597,-0.007181576190779906,0.0,-0.019986881471622357,-0.02168891656865595,-0.018241108876366697,0.02344770085359833,0.0,0.0
1995-12-19,1996-01-09,0.01520987936612599,-0.01973410041815833,0.0190923040588175,0.0,-0.04263190467522255,0.008568069035640048,-2.331968521891367e-05,0.005531813422115665,-0.001671535592981787,0.0,-0.008971249070674103,-0.02000413010867581,0.008117062180481072,0.0,-0.014803930344437118,0.02461391167720266,-0.020129753850947906,0.01023021803403983,0.0056080991395955244,-0.025153360206177044,0.031285848854007134,0.00039290611998092986,0.024473172064487226,0.0,1.1564823173178713e-18
1996-01-31,1996-02-21,0.0018840954904003233,-0.006241081756099203,-0.0033307231020195775,0.0,0.02642457472236433,-0.03877923263817444,-0.02208050642530916,0.022142305956645975,0.036286330584178586,0.0,0.0014336016044607831,0.018606599595474133,0.022554579157876026,0.0,-0.008788437538082821,0.009428933800463352,-0.005569052950313107,0.021053426987595675,-0.03272426206564387,0.022107087176043667,-0.001856978343629561,-0.03559290298510524,-0.02695835727112587,0.0,0.0
1996-12-17,1997-01-07,0.0029863561606031917,0.029996364730644737,0.014780954698089738,0.007771358253031239,-0.014628822858621188,0.022187761986563383,0.016541417420830068,-0.012443009221542374,-0.01394070203569961,0.0,-0.021513601677558752,-0.012460350245309532,0.004028250055373465,0.0,0.0010080114387034647,0.019594707284302598,-0.006784964600034832,-0.006952518023343708,0.021052545582956245,-0.0011628747416262148,-0.009835617699653661,-0.026286102303525325,-0.013939164204182926,0.0,4.336808689942018e-19
1997-01-09,1997-01-30,0.013872780258258216,-0.007672946058528307,-0.016991018389991182,-0.02834796983151467,0.05256697445320502,-0.019928625311280264,-0.01370287478913113,0.01211975253969932,0.01622717037298959,0.0,0.003385898087687406,0.004156046807142872,0.04281683212881926,0.0,-0.0003654871306834114,0.00247039889821587,-0.04083704416569578,0.00586040736046411,-0.028357161790502523,0.012519523404649896,0.02184517528210794,-0.014492841433572662,-0.017144990692339553,0.0,5.782411586589357e-19
1997-03-25,1997-04-15,0.005062870688489871,0.040287936852005046,-0.011962895185565373,0.05167922961121918,-0.030032249326777616,-0.03968632849919351,0.039220826036045375,0.0034839062351110775,-0.027254394630211176,0.0,-0.047209020827885695,0.07569565110714604,0.004758687402335647,0.0,-0.020925457485295174,-0.021050930916336034,-0.02845185472416734,0.007147864453557861,0.019648389843861858,0.009393918737501394,-0.020105653395510962,0.027535410559150205,-0.0372359065354807,0.0,0.0
1997-07-02,1997-07-23,0.022145607803521896,-0.00503373639785257,-0.013810401598903486,-0.012829186241316935,0.01638887320130408,-0.02214443668835334,-0.013605888858565871,0.019626319941835692,0.020761111612076135,0.0,0.026728259755053854,0.04551809611049537,-0.02609283590883141,0.0,-0.016100785479416877,-0.005469216587677992,0.024223556915960308,0.02815338323825353,-0.02592733625550606,-0.003444633819263662,-0.00463548221382096,-0.03126715541771289,-0.0231841131112788,0.0,-5.782411586589357e-19
1997-09-30,1997-10-21,-0.017020867518158046,0.018225997562961692,-0.005252522059735623,0.04854976604108582,-0.018287650226781617,-0.03668844306637679,0.03448986169166087,-0.016923482122292256,-0.002503732521625758,0.0,1.766774606012239e-05,0.02232199254954833,0.023195879817938324,0.0,0.008396265349265152,-0.018802134772953373,-0.023621894292954727,-0.00841084275227514,0.022453256511578222,0.008620217252205263,-0.01731386840804209,-0.01538106433776091,-0.006064402443347418,0.0,3.469446951953614e-18
1997-11-12,1997-12-03,-0.014805367618890937,0.03233101802135897,-0.01836645558495585,-0.024684560491657993,0.02438635523299572,0.029381707017658316,-0.014419190920726726,0.008368821112966902,-0.006159142167786333,0.0,-0.02145641413125175,0.015426238137820418,-0.01593773261288288,0.0,0.02498644126711659,-0.02126469969229992,0.013096440509166935,0.0068484308708822855,-0.00679079309633544,-0.06070313867242436,0.10438116965926947,-0.02838027223082383,-0.026238854609199596,0.0,-1.1564823173178713e-18
