fomc_date,avg_stmt_car,avg_min_car,stmt_min_div
1994-05-17,0.008148225619223102,-5.2684194455591914e-18,
1994-08-16,-0.0019101356191237823,1.1187360194609686e-17,
1994-11-15,-0.0013038161627348353,-6.071532165918824e-19,
1995-02-01,0.010382627547179278,-5.1752583699974746e-18,
1995-07-06,0.004455158239094473,5.295471663508148e-18,
1995-12-19,0.015212679863124117,-1.0518482028938735e-17,
1996-01-31,-0.004166546689206675,-4.6837533851373795e-18,
1996-12-17,-0.003536434239763753,-9.284713149830411e-18,
1997-03-25,-0.017847167772367025,-8.591011500075616e-18,
1997-07-02,0.0043497440609331665,1.4009206252964216e-17,
1997-09-30,0.002694343049976843,1.0842021724855044e-17,
1997-11-12,-0.014876908395430715,9.094156404363261e-18,
1998-09-29,-0.015156173266522506,3.587723552588397e-18,
1998-11-17,0.0004520266919154821,-4.796773247966171e-18,
1998-11-18,-0.010755554158854827,4.130293990420969e-20,
1998-11-19,0.01591195240790863,7.464567684506262e-18,
1999-05-18,0.010367172119227252,-4.494510824121727e-18,
1999-06-30,0.0010072213577666668,8.21479559094814e-18,
1999-08-24,-0.017681108816760566,-1.3626378608397527e-17,
1999-10-05,0.007370369372188056,-4.229959780189823e-18,
1999-11-16,-0.0274675450319629,-3.921983510904085e-18,
1999-11-17,-0.03047829708536787,4.581932659373523e-18,
1999-11-18,-0.014037674352491446,8.560483240146418e-18,
1999-12-21,-0.006788835575132149,9.856383386231858e-18,
2000-02-02,-0.03384289760612442,1.2931575002736198e-17,
2000-03-21,0.025976014837581354,-3.557440171749539e-18,
2000-05-16,-0.015162936949681157,4.809915092481147e-18,
2000-06-28,-0.0030168372151371183,8.849603819475885e-18,
2000-08-22,-6.037167526010166e-05,-4.902479388630107e-19,
2000-12-19,0.037301338306215556,-3.154042683594195e-19,
2001-01-31,-0.013436770115328834,1.2469896291079658e-17,
2001-03-20,-0.027143805767042107,-2.5140919941692857e-19,
2001-05-15,0.0005682201794305955,-8.334214960671181e-18,
2001-06-27,-0.008033130745665345,4.173392710321014e-18,
2001-08-21,0.004286516324016986,-1.5738215883499727e-17,
2001-09-17,-0.004672423551651878,9.32728129836805e-18,
2001-11-06,0.02059203043106335,-1.6190752442450197e-17,
2001-12-11,0.003259222412817309,1.6919839120759292e-17,
2002-01-30,-0.003524649009137032,4.0916847205105125e-18,
2002-03-19,0.005853704972316273,-1.2928718080015551e-17,
2003-01-29,0.0015934574786621997,1.3027710452285966e-17,
2003-03-18,0.001968727940943132,-8.585624160088111e-18,
2003-06-25,0.001430817901915586,-1.7120966480292836e-17,
2003-08-12,0.006903528404909726,8.365641110598299e-18,
2003-09-16,0.0024764605626487,8.62333554000065e-18,
2004-01-28,-0.0083891881465446,1.3325830338185472e-17,
2004-03-16,0.0089894866333581,-8.384496800554569e-18,
2004-08-10,0.008032856591576586,4.324238229971171e-18,
2004-09-21,0.006113376325475886,-7.7434033420414e-18,
2004-11-10,0.003599334326111936,-1.0024941826750027e-18,
