fomc_date,file,status
2024-09-18,data/press_conf/FOMCpresconf20240918.pdf,downloaded
2024-11-07,data/press_conf/FOMCpresconf20241107.pdf,downloaded
2024-12-18,data/press_conf/FOMCpresconf20241218.pdf,downloaded
2025-01-29,data/press_conf/FOMCpresconf20250129.pdf,downloaded
2025-03-19,data/press_conf/FOMCpresconf20250319.pdf,downloaded
2025-05-07,data/press_conf/FOMCpresconf20250507.pdf,downloaded
2025-06-18,data/press_conf/FOMCpresconf20250618.pdf,downloaded
2025-07-30,data/press_conf/FOMCpresconf20250730.pdf,downloaded
2025-09-17,data/press_conf/FOMCpresconf20250917.pdf,downloaded
2025-10-29,data/press_conf/FOMCpresconf20251029.pdf,downloaded
2025-12-10,data/press_conf/FOMCpresconf20251210.pdf,downloaded
