rssd9001,rssd9999,htm_securities,interest_income,total_assets,total_deposits,trading_assets,risk_weighted_assets,total_equity,afs_securities,interest_expense,net_interest_income,tier1_capital,tier1_ratio,equity_capital,noninterest_income_b,report_date,ticker,tier1_ratio_computed,tier1_ratio_final,equity_ratio,nim,trading_ratio,deposit_ratio,afs_ratio,htm_ratio,tier1_yoy,nim_change
1073757.0,2004-06-30,77190662,13096876,1039764440.0,1108306829.0,120228895.0,754387117.0,,14268474980.0,6197381,9368714,90268354,11.97,95821382,943639789.0,2004-06-30,BAC,0.11965786791133656,11.97,,0.009010419706217304,0.11563089712896894,1.0659210743925807,13.72279569399392,0.074238605428745,0.3504331578002513,0.0043995695330984455
1073757.0,2004-09-30,75662224,20623439,1089312372.0,1110124223.0,138536645.0,779858393.0,,14448606712.0,10119859,14431385,91325772,11.71,98010754,990973473.0,2004-09-30,BAC,0.11710558329529962,11.71,,0.01324816037249598,0.12717806990995967,1.019105494011593,13.263970081852701,0.06945870252174094,0.34322359170466243,0.004237740666278677
1073757.0,2004-12-31,77996860,27515895,1112011068.0,1152526510.0,121692245.0,793380108.0,,15034991526.0,14992581,21411669,93034084,11.73,100234653,1011421515.0,2004-12-31,BAC,0.11726293999798644,11.73,,0.019254906372928295,0.10943438289590837,1.0364343873598927,13.520541259576744,0.07014036302739389,0.3759389616907225,0.006006746000432314
1073757.0,2005-03-31,80560281,7368503,1213691098.0,1200872219.0,151330811.0,817860678.0,,16324871306.0,5630041,6141468,94240183,11.52,98926899,1114423934.0,2005-03-31,BAC,0.11522767328838372,11.52,,0.005060157407531714,0.12468643071484405,0.989438104126228,13.450598206496856,0.06637626421809678,0.39644057413037226,-0.01419474896539658
1073757.0,2005-06-30,81420311,14842173,1251045863.0,1277497788.0,156058866.0,853085198.0,,17097361506.0,12260134,13089602,95759977,11.23,101334806,1149354872.0,2005-06-30,BAC,0.11225136390187372,11.23,,0.010462927369114364,0.12474272176223167,1.0211438491444018,13.666454613422914,0.06508179548650168,0.060836636059631743,0.00540276996158265
1073757.0,2005-09-30,85108753,22461442,1256087092.0,1294753398.0,147914124.0,889642067.0,,17601502629.0,19717897,19550262,99530505,11.19,101727945,1153979960.0,2005-09-30,BAC,0.111877021885477,11.19,,0.015564415974429901,0.11775785687319204,1.030783140951185,14.01296354456925,0.06775704769363237,0.08984028079171336,0.005101488605315537
1073757.0,2005-12-31,93077102,30103066,1294319671.0,1305056219.0,156336212.0,901467644.0,,17872537579.0,27889259,26371031,99901380,11.08,101532658,1192406905.0,2005-12-31,BAC,0.11082081610463215,11.08,,0.020374434222749288,0.12078639883392454,1.008295128506936,13.808441592478895,0.07191198904370202,0.07381483973121084,0.004810018248319387
1073757.0,2006-03-31,99060187,8536453,1375923314.0,1416373456.0,139782408.0,984189843.0,,20040572790.0,9348634,9351737,111421862,11.32,129425693,1246124359.0,2006-03-31,BAC,0.11321175766289635,11.32,,0.0067966992817449995,0.10159171414403405,1.0293985439365845,14.565181493828515,0.0719954273556266,0.18231797151752138,-0.01357773494100429
1073757.0,2006-06-30,99704007,16997954,1447538298.0,1456003769.0,160235950.0,1019828177.0,,20919211405.0,20015588,18639533,114737866,11.25,127841462,1319315259.0,2006-06-30,BAC,0.11250705617638568,11.25,,0.012876711466462354,0.11069548226902941,1.00584818447408,14.45157715958407,0.06887832062043307,0.19818184584568144,0.006080012184717354
1073757.0,2006-09-30,101833336,25347940,1451603528.0,1497987398.0,164414117.0,1039282713.0,,21877790596.0,32102229,29035358,119073970,11.46,133596772,1317627513.0,2006-09-30,BAC,0.11457322296478918,11.46,,0.0200022646955154,0.1132637898907063,1.0319535390382435,15.071464193906257,0.07015230676678268,0.1963565341098188,0.007125553229053047
1073757.0,2006-12-31,105414920,33614775,1463685485.0,1499571991.0,177067306.0,1054532570.0,,22355895569.0,43994426,38901427,125225775,11.88,135271493,1328053465.0,2006-12-31,BAC,0.11875003064153818,11.88,,0.0265777227407567,0.12097360246760935,1.0245179079575282,15.273701760457097,0.07202019906619488,0.2534939457292782,0.0065754580452413
1073757.0,2007-03-31,108684471,8673209,1509618809.0,1525772036.0,200474157.0,1062882762.0,,24464127906.0,12292442,9194478,126957660,11.94,134855601,1374408273.0,2007-03-31,BAC,0.11944653214725859,11.94,,0.006090595814774324,0.1327978664579556,1.0107002025303993,16.205500196573134,0.07199464550391674,0.13943222381259424,-0.020487126925982375
1073757.0,2007-06-30,110527418,17168207,1535684280.0,1567550063.0,213309774.0,1115149834.0,,25451298102.0,25137686,20194210,135059044,12.11,135750639,1399536544.0,2007-06-30,BAC,0.1211129122582105,12.11,,0.013149975071698983,0.13890210167418007,1.020750217616345,16.573262117393035,0.07197274820056113,0.17710960390356223,0.007059379256924659
1073757.0,2007-09-30,122121017,26233701,1582330249.0,1587679626.0,213078264.0,1145068756.0,,27482301331.0,38567373,26759436,135785682,11.86,138510090,1443557682.0,2007-09-30,BAC,0.11858299450448022,11.86,,0.01691141025516728,0.13466105709263984,1.003380695656536,17.36824619788963,0.07717795768435695,0.14034731520247457,0.0037614351834682983
