fomc_date,minutes_release,PNC_min_car,NTRS_min_car,RF_min_car,SCHW_min_car,BCS_min_car,MS_min_car,JPM_min_car,BK_min_car,C_min_car,USB_min_car,FITB_min_car,BAC_min_car,KEY_min_car,WFC_min_car,TFC_min_car,STT_min_car,MTB_min_car,avg_min_car,BMO_min_car,COF_min_car,RY_min_car,TD_min_car,GS_min_car,ALLY_min_car,CFG_min_car
1994-05-17,1994-06-07,-0.018378658879367953,0.019377726473034745,0.0215019089377728,-0.053084991794098146,0.037099664953227134,0.009455516053599827,-0.006277772430859477,0.00830204027655715,0.005929159326852798,0.005801793418311458,-0.0032554051650030835,-0.020250490731418647,0.00691679990032858,0.012654589750268017,0.017349769479090164,-0.03262349670115352,-0.010518152867141846,5.102127870520021e-19,,,,,,,
1994-08-16,1994-09-06,-0.0035747188560416336,-0.01063898603684488,-0.017347264285471398,-0.009851568424951548,0.04655099997734133,-0.015066021232036871,-0.0007278045858758646,-0.009348173332518687,0.008740220556161011,0.004310974819471765,0.00875308547940145,-0.01343437230109887,0.009119837510742522,0.0025498288268173243,-0.009212798096966422,0.007050819445216702,0.002125940536654083,4.591915083468019e-19,,,,,,,
1994-11-15,1994-12-06,0.010238411456778979,0.024479930649568958,-0.023112780550918633,0.003254956389887976,-0.010658638329399653,-0.054520615937943065,0.02187162569816761,0.030497513851846302,-0.003939623762439982,-0.0045337267664208435,-0.03193182683998584,0.01294106545363766,0.022042335386921557,0.03084393012875006,-0.022051309458390834,-0.0043068506121029335,0.00014917070281812023,7.432749769267277e-05,,,,,,,
1995-02-01,1995-02-22,0.013279139625603505,-0.0021317373775415318,0.0103931869317111,-0.007850230328309078,0.0037023459061387154,-0.03213111232381103,-0.02029783785023665,-0.004902933274638402,-0.01118993302408955,-0.006908766507304445,0.022928931724082953,0.0026611754002735105,1.9448577154605393e-06,-0.023468871511805663,-0.005037908730986904,0.005160448834429648,0.0302687438989873,-0.0005421358324464247,0.01576496876574541,,,,,,
1995-07-06,1995-07-27,-0.008764927623005372,-0.0070997162697935354,0.02143917262552565,-0.004700106946493811,0.02443960274826875,0.005918519497186677,-0.01565324354910934,0.0056151991148970315,0.014299390938627816,0.019296133273536686,0.0011664745859011603,-0.012067688297461115,-0.004950851578611443,-0.02108879437798372,-0.02013324610988628,-0.014875931997751002,0.03181350254401981,-5.969829905688655e-05,-0.033302669543030364,0.01751491328308155,,,,,
1995-12-19,1996-01-09,0.014322087511316384,-0.025507683928105436,0.00179132438563333,0.00358948086447268,0.0026445782954584614,0.0244740956823965,0.0060902807150269335,0.005856049152205081,-0.006253496686818431,-0.011678645115705402,-0.03528204895316997,0.030690681575321954,0.008029571077057316,-0.025677494261527805,0.026094532217720214,-0.007421718092463543,-0.0004123587588827282,-0.0005100288650245533,-0.009738186730224759,-0.011301597385177296,,,,,
1996-01-31,1996-02-21,0.004090075515290718,-0.007877867776209977,-0.0023048290374076442,0.02341022273797188,-0.036770398990014996,0.02282279943343124,0.034111087316868655,0.0003588079616130054,0.016252733148858445,0.022103968654088348,-0.008746529709201843,0.008524751324517446,0.02177203711099627,0.022227537904129187,0.0002317630781258507,-0.03550523327367708,-0.02563960551894194,6.384421793678743e-05,-0.019170391622503658,-0.007401881117571833,-0.03121216278162633,,,,
1996-12-17,1997-01-07,0.00420769982622666,0.030613290784010993,0.018436285010324332,-0.016289352837224626,0.023272771505757333,-0.012686687682879857,-0.016454365383691712,-0.02287046471014542,-0.013740530998130161,0.0030492433658120335,0.000984026055554442,0.019015928107991218,-0.006496215426730203,-0.0017046617656682347,-0.008717463221691554,-0.026655605539693008,-0.010251082128282282,-0.00022929761431322876,0.017384910408810003,-0.009533930054427342,0.02179793579134539,0.0018230189921541991,,,
1997-01-09,1997-01-30,0.011687076435297372,0.0040943927175875194,-0.0029887107613947046,0.02880296726703943,-0.003804329979740044,0.004499370723790043,0.008212621948544052,-0.0029604569320188633,-0.010305240046331538,0.05089132257214347,0.0011598188456566159,-0.002165424560342088,0.005602984663765405,0.008667752161171004,0.028037779902975152,-0.016645126695813535,0.004338865887838316,-0.0004903729377433294,-0.007815995416339181,-0.05733543237955745,-0.019912210838903197,-0.0423598572079777,,,
1997-03-25,1997-04-15,0.004836676208430913,0.04286386235728621,-0.0013254893627201447,-0.04483160460777629,-0.030302896647310174,0.001770802289454889,-0.030190098813964998,-0.05228658558518988,0.0646558815655634,0.007239993883645081,-0.023017178878280472,-0.022034062557584964,0.008232768143293615,0.008250539453537263,-0.016378569489365086,0.02459619209559401,-0.021083117833884595,-9.805750816131207e-05,0.04147920699276464,-0.03374142369451952,0.02291932982786494,0.04628656698177361,,,
