Date,MUFG,Mizuho,SMFG,SMTH,Resona,Chiba,Gunma,Suruga,Yamaguchi,Concordia,Hokuhoku,NK225,TOPIX,USDJPY,TPX_Banks
1993-06-01,,,,,,,,,,,,20591.41015625,,,
1993-06-02,,,,,,,,,,,,20691.69921875,,,
1993-06-03,,,,,,,,,,,,21076.0,,,
1993-06-04,,,,,,,,,,,,20882.240234375,,,
1993-06-07,,,,,,,,,,,,20844.189453125,,,
1993-06-08,,,,,,,,,,,,20575.240234375,,,
1993-06-10,,,,,,,,,,,,20493.3203125,,,
1993-06-11,,,,,,,,,,,,20500.94921875,,,
1993-06-14,,,,,,,,,,,,20397.349609375,,,
1993-06-15,,,,,,,,,,,,20045.880859375,,,
1993-06-16,,,,,,,,,,,,19902.419921875,,,
1993-06-17,,,,,,,,,,,,19925.509765625,,,
1993-06-18,,,,,,,,,,,,19804.5390625,,,
1993-06-21,,,,,,,,,,,,19212.4296875,,,
1993-06-22,,,,,,,,,,,,19538.30078125,,,
1993-06-23,,,,,,,,,,,,19492.51953125,,,
1993-06-24,,,,,,,,,,,,19685.0703125,,,
1993-06-25,,,,,,,,,,,,19659.5703125,,,
1993-06-28,,,,,,,,,,,,19886.759765625,,,
1993-06-29,,,,,,,,,,,,19543.419921875,,,
1993-06-30,,,,,,,,,,,,19590.0,,,
1993-07-01,,,,,,,,,,,,19924.609375,,,
1993-07-02,,,,,,,,,,,,19621.4609375,,,
1993-07-05,,,,,,,,,,,,19623.060546875,,,
1993-07-06,,,,,,,,,,,,19829.779296875,,,
1993-07-07,,,,,,,,,,,,19720.669921875,,,
1993-07-08,,,,,,,,,,,,19688.669921875,,,
1993-07-09,,,,,,,,,,,,19877.390625,,,
1993-07-12,,,,,,,,,,,,19980.0,,,
1993-07-13,,,,,,,,,,,,20180.419921875,,,
1993-07-14,,,,,,,,,,,,20139.109375,,,
1993-07-15,,,,,,,,,,,,20158.01953125,,,
1993-07-16,,,,,,,,,,,,20331.529296875,,,
1993-07-19,,,,,,,,,,,,20150.919921875,,,
1993-07-20,,,,,,,,,,,,20038.0,,,
1993-07-21,,,,,,,,,,,,20080.91015625,,,
1993-07-22,,,,,,,,,,,,20115.810546875,,,
1993-07-23,,,,,,,,,,,,19734.5703125,,,
1993-07-26,,,,,,,,,,,,19822.080078125,,,
1993-07-27,,,,,,,,,,,,19891.390625,,,
1993-07-28,,,,,,,,,,,,19829.580078125,,,
1993-07-29,,,,,,,,,,,,20456.849609375,,,
1993-07-30,,,,,,,,,,,,20380.140625,,,
1993-08-02,,,,,,,,,,,,20343.529296875,,,
1993-08-03,,,,,,,,,,,,20357.640625,,,
1993-08-04,,,,,,,,,,,,20497.55078125,,,
1993-08-05,,,,,,,,,,,,20425.640625,,,
1993-08-06,,,,,,,,,,,,20357.939453125,,,
1993-08-09,,,,,,,,,,,,20493.05078125,,,
1993-08-10,,,,,,,,,,,,20493.75,,,
1993-08-11,,,,,,,,,,,,20732.5703125,,,
1993-08-12,,,,,,,,,,,,20765.279296875,,,
1993-08-13,,,,,,,,,,,,20745.169921875,,,
1993-08-16,,,,,,,,,,,,20901.490234375,,,
1993-08-17,,,,,,,,,,,,20841.98046875,,,
1993-08-18,,,,,,,,,,,,20773.1796875,,,
1993-08-19,,,,,,,,,,,,20687.470703125,,,
1993-08-20,,,,,,,,,,,,20607.259765625,,,
1993-08-23,,,,,,,,,,,,20414.140625,,,
1993-08-24,,,,,,,,,,,,20431.83984375,,,
1993-08-25,,,,,,,,,,,,20521.44921875,,,
1993-08-26,,,,,,,,,,,,20591.759765625,,,
1993-08-27,,,,,,,,,,,,20791.6796875,,,
1993-08-30,,,,,,,,,,,,20912.689453125,,,
1993-08-31,,,,,,,,,,,,21026.599609375,,,
1993-09-01,,,,,,,,,,,,20953.30078125,,,
1993-09-02,,,,,,,,,,,,20983.19921875,,,
1993-09-03,,,,,,,,,,,,21116.2109375,,,
1993-09-06,,,,,,,,,,,,21060.810546875,,,
1993-09-07,,,,,,,,,,,,20962.099609375,,,
1993-09-08,,,,,,,,,,,,20918.189453125,,,
1993-09-09,,,,,,,,,,,,20825.580078125,,,
1993-09-10,,,,,,,,,,,,20817.98046875,,,
