fomc_date,car_01
1994-05-17,-0.22220544895959204
1994-08-16,0.787675319277098
1994-11-15,-0.0204027933285153
1995-02-01,-0.060813867462965014
1995-07-06,9.732194502796471
1995-12-19,0.5976976763299456
1996-01-31,0.4101910040229103
1996-12-17,-1.3528878382983132
1997-01-09,-6.776673366770551
1997-03-25,2.374500053017934
1997-07-02,-0.46233577935677567
1997-09-30,-0.7877380821317105
1997-11-12,-2.5955395537451356
1998-09-29,-3.773255535847897
1998-10-15,1.4648803526310223
1998-11-17,0.6247111413855041
1998-11-18,0.5203870374301207
1998-11-19,2.4486535344494222
1999-05-18,-2.079166093383065
1999-06-30,0.27201136695247113
1999-08-24,-2.632703872675791
1999-10-05,0.7598135295319954
1999-11-16,0.3278694310114047
1999-11-17,1.8330207607316018
1999-11-18,1.5402995920879785
1999-12-21,1.7236716906350398
2000-02-02,1.5873278661084405
2000-03-21,0.6080135903215388
2000-05-16,0.1867055144164416
2000-06-28,1.1683532118298237
2000-08-22,2.5019214772307334
2000-10-10,-2.5542677865443792
2000-12-19,-4.625698667235291
2001-01-31,-0.3759720187757301
2001-03-20,6.99902906774151
2001-05-15,0.18494540717705985
2001-06-27,-0.5298184425113256
2001-08-21,1.089080727335362
2001-09-17,-1.7144832195328739
2001-11-06,-1.1483986442535412
2001-12-11,2.204562184247317
2002-01-30,1.3158185020294266
2002-03-19,-1.2712200816532306
2003-01-29,-2.5226173874451003
2003-03-18,2.1604279317500947
2003-06-25,1.2441544468727712
2003-08-12,1.6986563453525165
2003-09-16,0.9092821457583826
2004-01-28,-0.937607205027036
2004-03-16,2.714614186880975
2004-08-10,1.4167282677815065
2004-09-21,-1.9254467982160266
2004-11-10,-1.0912010166956747
2004-12-14,0.7037353121596507
2005-02-02,-0.4762496036080227
2005-05-03,2.2225114160171313
2005-08-09,3.128891558469181
2005-09-20,0.8656272638258865
2005-11-01,2.003995249795922
2005-12-13,-2.9210932794876596
2006-01-31,-0.36889412157483437
2006-03-28,2.3593258518685407
2006-05-10,-3.362455962949645
2006-08-08,2.404573494220198
2006-10-25,0.2855821488553481
2006-12-12,0.4158115116389893
2007-05-09,-0.07201159160758926
2007-08-07,0.9884310579479447
2007-09-18,2.8311385212264306
2007-12-11,-0.9854751042851967
2008-01-29,0.3604539165659462
2008-03-18,4.694033731863331
2008-04-30,1.318726730011938
2008-06-25,-1.37070426359275
2008-10-28,16.139878053227346
2008-12-16,0.19779527532971597
2009-01-28,1.753053147146938
2009-04-29,2.0254444973483623
2009-08-12,0.1462419669177861
2009-09-23,-0.407296452143902
2009-11-03,-1.2061427776271578
2009-12-15,1.3946650926299216
2010-03-16,1.1175286473305754
2010-06-23,-1.9724203163546963
2010-08-10,-5.216560519793943
2010-09-21,-2.6364192389124965
2010-11-03,4.1782207294118985
2010-12-14,0.17142911108154296
2011-01-26,0.3398203218168657
2011-03-15,-5.565746283763199
2011-04-27,3.391184803783097
2011-06-22,1.1592237336879059
2011-08-09,-0.14596794888763823
2011-09-20,-1.1905451585442026
2011-09-21,-1.8472125069881367
2011-11-02,0.7464246435634255
2011-12-13,-0.8840890040359459
2012-01-25,0.2704917894004127
2012-03-13,1.7896661591680054
2012-04-25,-0.2939942124624047
2012-06-20,-0.0851873571112615
2012-08-01,-0.9163243657920441
2012-09-13,2.4325775229558295
2012-10-24,1.924854857801589
2012-12-12,0.830147074677891
2013-01-30,2.197021711375038
2013-03-20,0.2050091527777513
2013-05-01,0.19261304274321642
2013-06-19,-3.9530672782425316
2013-07-31,2.8157154023716155
2013-09-18,2.4037205831415056
2013-10-30,-0.5614711025813781
2013-12-18,3.123574154440944
2014-01-29,-0.2838852237184067
2014-03-18,0.2975692265952498
2014-03-19,-1.4449101142046659
2014-04-30,0.4364448093247091
2014-06-17,1.2473689996702868
2014-06-18,2.3548083551427443
2014-07-30,-0.6635209087944797
2014-09-17,1.3326789891430577
2014-10-29,2.3162137027190366
2014-12-17,4.687916551590518
2015-01-28,0.753623547618222
2015-03-18,0.03847560476710642
2015-04-29,-3.283830842343851
2015-06-17,-0.964783048447376
2015-07-29,0.12936530648874106
2015-09-17,-3.009839437588325
2015-10-28,0.5827431971221306
2015-12-16,2.4951250612185003
2016-01-27,1.480112202590294
2016-03-16,-0.5122271713529123
2016-04-27,-5.749212343147995
2016-06-15,-0.7235585842492763
2016-07-27,-0.9982213891493723
2016-09-21,1.4771795868087507
2016-11-02,-0.6545377343572958
2016-12-14,0.6283785139425574
2017-02-01,0.18810871846884625
2017-03-15,-0.32483481860294156
2017-05-03,2.788510440166851
2017-06-14,-0.3508267126278647
2017-07-26,-0.33263475696745437
2017-09-20,0.4976827466157706
2017-11-01,1.8533513576568086
2017-12-13,-1.3483825169944987
2018-01-31,0.4426439521516416
2018-03-21,-0.6623634729559333
2018-05-02,-0.6603487949383589
2018-06-13,-0.06432402619691449
2018-08-01,-0.18522667420031402
2018-09-26,0.7967254037900634
2018-11-08,-1.4533258326781022
2018-12-19,-3.6958959588709774
2019-01-30,0.6030062443348472
2019-03-20,-1.2247072257082188
2019-05-01,-2.434262545430014
2019-06-19,1.3080487190581704
2019-07-31,-1.5545979756955999
2019-09-18,0.4795751157102475
2019-10-11,3.3027249218185477
2019-10-30,-1.0366371705473634
2019-12-11,1.4433916502714785
2020-01-29,-0.8225115353790856
2020-03-03,-1.167808444113869
2020-03-15,-8.000462413415017
2020-03-23,11.378954485383415
2020-04-29,1.268520345859163
2020-06-10,-3.748184232229805
2020-07-28,-1.0368348373853868
2020-07-29,-1.1594353129195962
2020-09-16,-0.6922577274481237
2020-11-05,2.976041661000581
2020-12-16,-0.46249255963234337
2021-01-27,-1.554154606823562
2021-03-17,-0.14274541789152592
2021-04-28,-0.022469499519923435
2021-06-16,-0.7335629577118566
2021-07-28,0.03071106232051444
2021-09-22,1.779657814389839
2021-11-03,1.2435093121571466
2021-12-15,1.7762510579332405
2022-01-26,-2.422686657079824
2022-02-18,-1.3635568260980928
2022-03-16,4.3203597914112235
2022-05-04,-0.4171902691261026
2022-06-15,-2.3366217560933973
2022-07-27,1.2606853308391477
2022-09-21,-2.559848355951795
2022-11-02,-0.5954341912703001
2022-12-14,-1.0767163932733956
2023-02-01,-0.09610521717965831
2023-03-22,0.273919436951001
2023-05-03,-1.003483392119201
2023-06-14,-0.08876877829276618
2023-07-26,-1.1477209071488021
2023-09-20,-3.554259491768906
2023-11-01,3.462317410691873
2023-12-13,-0.6711481776427053
2024-01-31,1.2345583614001716
2024-03-20,3.0195744253237704
2024-05-01,1.0900561040698826
2024-06-12,-0.9538006303040691
2024-07-31,-1.8430289158772788
2024-09-18,3.225875878322186
2024-11-07,-0.9083788907800372
2024-12-18,-0.5992055840519721
2025-01-29,0.7867146884124422
2025-03-19,0.006469723262953614
2025-05-07,1.2325514791481411
2025-06-18,0.32157530077802193
2025-07-30,0.6259728915586217
2025-09-17,1.6379759301162262
2025-10-29,1.7184656278380264
2025-12-10,-1.265943199435874
